said;5;2022-11-13 22:46:40.038846
said;3;2022-11-13 22:46:48.659752
said;3;2022-11-13 22:47:10.074823
said;20;2022-11-13 22:47:51.224300
said;11;2022-11-13 22:48:21.142330
said;14;2022-11-13 23:26:18.640889
said;22;2022-11-13 23:27:26.742485
said;12;2022-11-13 23:27:59.502591
said;2;2022-11-13 23:28:11.310643
said;4;2022-11-17 14:34:26.914084
said;3;2022-11-17 14:34:40.819786
said;19;2022-11-17 14:35:33.008316
said;6;2022-11-17 14:35:47.703662
said;14;2022-11-17 14:36:24.123002
said;22;2022-11-17 14:37:13.791718
said;14;2022-11-17 14:41:10.807641
